VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA0J,Thurston,Olympia,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,282440980,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011628
WVWKR7AU6K,Snohomish,Edmonds,WA,98020,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,21,477442514,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050502
1FMCU0LZ9N,Whitman,Pullman,WA,99163,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,9,200792707,POINT (-117.17912 46.730885),AVISTA CORP,53075000300
5YJ3E1EB5L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,39,112761694,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052210
1G1FX6S07H,Snohomish,Snohomish,WA,98290,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,122395535,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052401
1N4AZ0CP9D,Snohomish,Snohomish,WA,98290,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,44,210676777,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052401
5UXTA6C04P,Kittitas,Ellensburg,WA,98926,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,13,224509183,POINT (-120.54513 46.993465),PUGET SOUND ENERGY INC,53037975202
5UXKT0C51J,Snohomish,Edmonds,WA,98026,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,21,160093965,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050402
1N4AZ0CP5G,Kittitas,Ellensburg,WA,98926,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,13,108197379,POINT (-120.54513 46.993465),PUGET SOUND ENERGY INC,53037975203
5YJ3E1EA9K,Thurston,Olympia,WA,98513,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,202242918,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012420
5YJXCDE24L,Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21,195386376,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050300
5YJ3E1EB6J,Snohomish,Everett,WA,98203,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,38,2682011,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041304
WP1AE2A23G,Kitsap,Bremerton,WA,98310,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,23,116862070,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080102
7PDSGABA9P,Yakima,Naches,WA,98937,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,260958477,POINT (-120.69918 46.7305),PACIFICORP,53077003002
1N4AZ0CP6D,Island,Freeland,WA,98249,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,10,239530994,POINT (-122.544745 48.03024),PUGET SOUND ENERGY INC,53029971301
5YJ3E1EB8K,Snohomish,Snohomish,WA,98290,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,249268624,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052502
1G1RA6E41D,Grant,Moses Lake,WA,98837,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,13,6447500,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025010904
KM8S7DA28P,Stevens,Kettle Falls,WA,99141,2023,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,7,241733964,POINT (-118.056575 48.604475),AVISTA CORP,53065950102
5YJ3E1EBXJ,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,454147480,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061053603
1N4BZ1CP4L,Thurston,Olympia,WA,98501,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,150011991,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400
1G1RA6S52H,Thurston,Olympia,WA,98502,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,22,170670055,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010510
1G1RB6S58J,Chelan,Chelan,WA,98816,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,12,229685004,POINT (-120.015875 47.839895),PUD NO 1 OF CHELAN COUNTY,53007960301
7SAYGDEE3P,Grant,Quincy,WA,98848,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,13,256285200,POINT (-119.8493873 47.2339933),PUD NO 2 OF GRANT COUNTY,53025010700
7SAYGDEE2N,Whitman,Pullman,WA,99163,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,193579760,POINT (-117.17912 46.730885),AVISTA CORP,53075000201
3MW39FS04P,Snohomish,Lynnwood,WA,98036,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,32,257660707,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051401
5UXTA6C08P,Island,Oak Harbor,WA,98277,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,10,228275652,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970601
5UXTA6C09M,Snohomish,Lynnwood,WA,98087,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21,255396487,POINT (-122.2551991 47.8650827),PUGET SOUND ENERGY INC,53061042004
5YJ3E1EB7K,Snohomish,Edmonds,WA,98020,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,475704155,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050502
1FTVW1ELXP,Snohomish,Bothell,WA,98012,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,229477118,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061041704
KNDRJDLH1N,Spokane,Spokane,WA,99203,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,3,209835923,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004500
5YJ3E1EA9J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32,102332303,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050900
1G1FY6S07K,Island,Clinton,WA,98236,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,148350947,POINT (-122.359364 47.9796552),PUGET SOUND ENERGY INC,53029971800
5YJSA1E26J,King,Burien,WA,98166,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,34,219570529,POINT (-122.341345 47.465925),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600
7SAYGDEE7P,Skagit,Anacortes,WA,98221,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,245748499,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940402
5YJ3E1EA4L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,2866748,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051934
WA1LAAGE1K,Chelan,Cashmere,WA,98815,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,12,478436031,POINT (-120.4687 47.5173233),PUD NO 1 OF CHELAN COUNTY,53007960600
KL8CK6S07G,Snohomish,Everett,WA,98204,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,21,284979194,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041815
5YJ3E1EA6J,Snohomish,Snohomish,WA,98296,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,328076423,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052108
1N4AZ0CP3G,Kitsap,Poulsbo,WA,98370,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,1219340,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090400
5YJ3E1EB5J,Chelan,Wenatchee,WA,98801,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,12,196321212,POINT (-120.32009 47.42255),PUD NO 1 OF CHELAN COUNTY,53007960801
5YJ3E1EA9J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,101113841,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051921
5YJ3E1EA7K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,285979830,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011901
WBY1Z4C54G,King,Vashon,WA,98070,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,34,7078718,POINT (-122.46049 47.44873),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027702
JN1AZ0CP6C,Island,Langley,WA,98260,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,10,5819362,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029971800
KM8JBDD23R,Snohomish,Bothell,WA,98012,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,21,256150562,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051928
5YJXCBE24G,Chelan,Chelan,WA,98816,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,12,159222178,POINT (-120.015875 47.839895),PUD NO 1 OF CHELAN COUNTY,53007960303
JN1AZ0CP0C,Grant,Moses Lake,WA,98837,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,13,255859096,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025010904
5YJXCAE26G,Island,Oak Harbor,WA,98277,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,10,175715557,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970300
KNDRMDLH6P,Snohomish,Everett,WA,98208,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,44,231118002,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041609
WBY2Z2C5XF,Snohomish,Marysville,WA,98270,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,44,240829823,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052104
7SAXCDE51P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,227305263,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918
1FADP5CU4D,Pend Oreille,Newport,WA,99156,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,7,148318516,POINT (-117.049135 48.181095),PUD NO 1 OF PEND OREILLE COUNTY,53051970500
5YJYGDEEXM,Snohomish,Bothell,WA,98021,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,139965948,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937
KNDCC3LG5K,Snohomish,Snohomish,WA,98290,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,166452667,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052502
1G1RC6S52G,Whitman,Pullman,WA,99163,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,9,253394186,POINT (-117.17912 46.730885),AVISTA CORP,53075000500
1N4AZ0CP4G,King,Ravensdale,WA,98051,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5,117312226,POINT (-121.98104 47.358625),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603
2C4RC1N74J,Snohomish,Everett,WA,98208,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,44,138021460,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041601
5YJ3E1EA7J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,111508631,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051914
1G1RD6S55G,Yakima,Yakima,WA,98903,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,15,192531888,POINT (-120.477805 46.553505),PACIFICORP,53077940003
5YJ3E1EB2J,Island,Coupeville,WA,98239,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,476745517,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971100
1N4BZ1CP4K,Snohomish,Edmonds,WA,98020,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,21,124517508,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050501
JHMZC5F17J,Walla Walla,Walla Walla,WA,99362,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,16,309288927,POINT (-118.34332 46.063985),PACIFICORP,53071920801
KNDCE3LG1K,Island,Clinton,WA,98236,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,10,126145687,POINT (-122.359364 47.9796552),PUGET SOUND ENERGY INC,53029972000
5YJ3E1EB5K,King,Seattle,WA,98119,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,36,477497709,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
KL8CK6S03G,Snohomish,Brier,WA,98036,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,1,186158675,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913
JN1AZ0CP6C,Snohomish,Mukilteo,WA,98275,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,21,165818663,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041301
5UXKT0C52G,Thurston,Olympia,WA,98513,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,2,477957539,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012332
5YJXCBE28H,Kittitas,Cle Elum,WA,98922,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,13,119654720,POINT (-120.938305 47.195355),PUGET SOUND ENERGY INC,53037975104
1G1FY6S06L,Island,Langley,WA,98260,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,10,125973823,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029971900
1G1RD6E48C,Yakima,Yakima,WA,98908,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,14,165207150,POINT (-120.6027202 46.5965625),PACIFICORP,53077002803
5YJ3E1EB5J,King,Seattle,WA,98178,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37,180583336,POINT (-122.234385 47.494545),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026101
1N4AZ0CP1D,King,Redmond,WA,98053,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,45,143026929,POINT (-122.0222799 47.6958998),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032332
WAUTPBFF0G,Walla Walla,Walla Walla,WA,99362,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,16,107411678,POINT (-118.34332 46.063985),PACIFICORP,53071920701
1G1FZ6S04L,Skagit,Mount Vernon,WA,98274,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,10,261987589,POINT (-122.322955 48.4152),PUGET SOUND ENERGY INC,53057951200
JA4J24A53J,Whitman,Pullman,WA,99163,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,9,260983026,POINT (-117.17912 46.730885),AVISTA CORP,53075000400
KM8K53AGXK,Thurston,Lacey,WA,98503,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,22,104966781,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011421
1G1RD6E46F,Grant,Moses Lake,WA,98837,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,13,273669441,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025010904
1FADP5CU6G,Kitsap,Poulsbo,WA,98370,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,228088255,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035091100
JTJHKCFZ8R,Walla Walla,Walla Walla,WA,99362,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,16,257774296,POINT (-118.34332 46.063985),PACIFICORP,53071920902
5YJSA1DN6D,Yakima,Yakima,WA,98903,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,14,156737612,POINT (-120.477805 46.553505),PACIFICORP,53077003003
5YJSA1E16H,King,Kent,WA,98031,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,47,110220127,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602
WMEFJ9BA2J,Thurston,Olympia,WA,98503,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,2,476387103,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011500
7SAYGAEE8P,King,Seattle,WA,98117,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,260751333,POINT (-122.37275 47.68968),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003000
3FMTK3SU0M,Clark,Vancouver,WA,98685,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49,175473609,POINT (-122.70302 45.703706),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040904
3FMTK2SUXP,King,Seattle,WA,98125,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,244324706,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
1V2DNPE82P,Thurston,Olympia,WA,98513,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,260394256,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012332
7SAYGDEE1N,King,Bellevue,WA,98006,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,205664238,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704
7FCEHDB76N,King,Kent,WA,98032,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33,260360810,POINT (-122.235475 47.3809),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029206
YV4ED3UR4N,King,Kirkland,WA,98033,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,193331400,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402
ZACPDFCWXR,King,Tukwila,WA,98188,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,11,262064981,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200
5YJ3E1EAXN,King,Seattle,WA,98133,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,217915071,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400
5YJ3E1EB4J,King,Seattle,WA,98102,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,475818899,POINT (-122.32226 47.64058),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
5YJYGDEE0M,King,Kirkland,WA,98034,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,177801683,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
7SAXCDE57P,King,Redmond,WA,98052,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,258464076,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803
7SAXCBE56R,King,Kirkland,WA,98034,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,262783020,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
5YJ3E1ECXL,King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,43,144264130,POINT (-122.335345 47.61079),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302
1G1FX6S07J,King,Federal Way,WA,98003,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,30,329417497,POINT (-122.31327 47.32309),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030403
KNDPYDAH4P,King,Bothell,WA,98011,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,1,251094000,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022001
JA4J24A56K,King,Bellevue,WA,98008,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,48,478879985,POINT (-122.11832 47.6245),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
7SAXCBE54P,King,Kirkland,WA,98033,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,238054722,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
5YJYGDEE0L,King,Kirkland,WA,98033,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,48,127326930,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
YV4BK0DP5M,King,Seattle,WA,98112,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,43,255237377,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
7SAYGDEE3P,Clark,Vancouver,WA,98682,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,17,240175596,POINT (-122.5146473 45.67862),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040713
1C4JJXN63P,King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,11,237873331,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200
WP1AE2AY9K,King,Seattle,WA,98177,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,36,233909490,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600
7SAYGDEE3P,Kitsap,Seabeck,WA,98380,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,261054895,POINT (-122.847462 47.63836),PUGET SOUND ENERGY INC,53035091301
